ag_names,year,officers_total,population,ori,agency_name,agency_type_name,county_name,v_crime,n_v,value_v,n_nv,value_nv,n_kill,drug_use,tot_pop,black,med_inc,black_perc
abbeville police department,2009,3,2802,GA1560100,Abbeville Police Department,City,wilcox,9,0,0,0,0,0,0.1025151143,8721,3128,28863,0.3586744639376218
abbeville police department,2010,4,2908,GA1560100,Abbeville Police Department,City,wilcox,19,0,0,0,0,0,0.1025151143,9041,3330,30784,0.3683220882645725
abbeville police department,2011,3,2946,GA1560100,Abbeville Police Department,City,wilcox,15,0,0,0,0,0,0.1025151143,9131,3312,31712,0.36272040302267
abbeville police department,2012,11,2946,GA1560100,Abbeville Police Department,City,wilcox,17,1,499,0,0,0,0.1025151143,9142,3316,31509,0.36272150514110696
abbeville police department,2013,4,2888,GA1560100,Abbeville Police Department,City,wilcox,6,0,0,0,0,0,0.1025151143,9110,3392,32928,0.37233809001097695
abbeville police department,2014,5,2869,GA1560100,Abbeville Police Department,City,wilcox,13,0,0,0,0,0,0.1025151143,9061,3350,32545,0.3697163668469264
abbeville police department,2015,5,2784,GA1560100,Abbeville Police Department,City,wilcox,21,0,0,0,0,0,0.1025151143,8972,3382,32043,0.37695051270619706
abbeville police department,2016,5,2796,GA1560100,Abbeville Police Department,City,wilcox,16,2,23998,3,120.375,0,0.1025151143,8884,3179,34071,0.35783430886987844
abbeville police department,2017,5,2736,GA1560100,Abbeville Police Department,City,wilcox,10,5,2452.031111111111,0,0,0,0.1025151143,8896,3156,35457,0.3547661870503597
abbeville police department,2018,5,2772,GA1560100,Abbeville Police Department,City,wilcox,1,0,0,0,0,0,0.1025151143,8846,3122,36077,0.35292787700655665
acworth police department,2009,39,20193,GA0330500,Acworth Police Department,City,cobb,156,0,0,0,0,0,0.0865314877,690430,156038,66515,0.22600118766565763
acworth police department,2010,52,20425,GA0330500,Acworth Police Department,City,cobb,49,0,0,0,0,0,0.0865314877,677402,163830,65522,0.2418504816932929
acworth police department,2011,38,20694,GA0330500,Acworth Police Department,City,cobb,72,0,0,0,0,0,0.0865314877,684468,169112,65423,0.2470707176960793
acworth police department,2012,38,20932,GA0330500,Acworth Police Department,City,cobb,47,0,0,0,0,0,0.0865314877,691820,173854,65180,0.2512994709606545
acworth police department,2013,24,21458,GA0330500,Acworth Police Department,City,cobb,101,0,0,0,0,0,0.0865314877,699235,179044,63920,0.2560569765529471
acworth police department,2014,39,21727,GA0330500,Acworth Police Department,City,cobb,92,0,0,0,0,0,0.0865314877,708920,185448,64657,0.26159228121649836
acworth police department,2015,39,22222,GA0330500,Acworth Police Department,City,cobb,102,0,0,0,0,0,0.0865314877,719133,190681,65873,0.2651540118448187
acworth police department,2016,39,22467,GA0330500,Acworth Police Department,City,cobb,99,1,58981.5,0,0,0,0.0865314877,728388,194744,68818,0.2673629988412769
acworth police department,2017,43,22747,GA0330500,Acworth Police Department,City,cobb,83,0,0,0,0,0,0.0865314877,739072,200534,72004,0.27133215708347763
acworth police department,2018,45,23028,GA0330500,Acworth Police Department,City,cobb,56,0,0,0,0,0,0.0865314877,745057,203874,75153,0.27363543997304907
