Date,Area,District,First_class,Marketing_mail
2020-10-24,Nation,NA,86.19,89.24
2020-10-26,Nation,NA,88.92,88.02
2020-10-27,Nation,NA,63.73,90.02
2020-10-28,Nation,NA,79.29,87.57
2020-10-29,Nation,NA,89.29,87.44
2020-10-30,Nation,NA,85.33,85.64
2020-10-31,Nation,NA,85.49,83.4
2020-11-02,Nation,NA,88.94,83.25
2020-11-03,Nation,NA,77.17,88.98
2020-10-24,Capital Metro,NA,79.72,80.37
2020-10-24,Eastern,NA,80.06,84.36
2020-10-24,Great Lakes,NA,86.17,90.23
2020-10-24,Northeast,NA,89.13,92.94
2020-10-24,Pacific,NA,92.6,96.21
2020-10-24,Southern,NA,87.58,88.4
2020-10-24,Western,NA,87.43,92.46
2020-10-26,Capital Metro,NA,82.46,74.54
2020-10-26,Eastern,NA,82.49,79.64
2020-10-26,Great Lakes,NA,88.75,90.58
2020-10-26,Northeast,NA,92.2,92.87
2020-10-26,Pacific,NA,94.85,96.38
2020-10-26,Southern,NA,89.9,91.39
2020-10-26,Western,NA,91.18,92.08
2020-10-27,Capital Metro,NA,52.64,79.58
2020-10-27,Eastern,NA,52.91,85.43
2020-10-27,Great Lakes,NA,59.35,89.65
2020-10-27,Northeast,NA,71.76,93.17
2020-10-27,Pacific,NA,74.62,96.64
2020-10-27,Southern,NA,68.04,92.41
2020-10-27,Western,NA,68.03,91.96
2020-10-28,Capital Metro,NA,66.76,74.29
2020-10-28,Eastern,NA,74.63,81.16
2020-10-28,Great Lakes,NA,75.85,86.5
2020-10-28,Northeast,NA,85.69,92.22
2020-10-28,Pacific,NA,87,96.91
2020-10-28,Southern,NA,81.56,91.03
2020-10-28,Western,NA,82.53,90.5
2020-10-29,Capital Metro,NA,85.49,73.46
2020-10-29,Eastern,NA,80.7,81.08
2020-10-29,Great Lakes,NA,88.26,85.41
2020-10-29,Northeast,NA,93.04,92.45
2020-10-29,Pacific,NA,94.36,96.9
2020-10-29,Southern,NA,90.81,90.15
2020-10-29,Western,NA,92.49,91.56
2020-10-30,Capital Metro,NA,78.8,72.59
2020-10-30,Eastern,NA,78.88,81.11
2020-10-30,Great Lakes,NA,85.83,82.67
2020-10-30,Northeast,NA,90.83,90.34
2020-10-30,Pacific,NA,90.76,96.64
2020-10-30,Southern,NA,84.79,86.79
2020-10-30,Western,NA,88.46,89.29
2020-10-31,Capital Metro,NA,77.87,64.72
2020-10-31,Eastern,NA,78.5,77.56
2020-10-31,Great Lakes,NA,85.38,79.42
2020-10-31,Northeast,NA,90.84,89.4
2020-10-31,Pacific,NA,93.51,95.95
2020-10-31,Southern,NA,86.97,86.86
2020-10-31,Western,NA,86.8,87.9
2020-11-02,Capital Metro,NA,84.03,67.33
2020-11-02,Eastern,NA,83.43,76.28
2020-11-02,Great Lakes,NA,88.05,79.52
2020-11-02,Northeast,NA,92.5,92.41
2020-11-02,Pacific,NA,94.61,95.19
2020-11-02,Southern,NA,90.95,87.82
2020-11-02,Western,NA,90.24,86.55
2020-11-03,Capital Metro,NA,70.67,81.79
2020-11-03,Eastern,NA,70.36,81.56
2020-11-03,Great Lakes,NA,75.15,84.93
2020-11-03,Northeast,NA,87.2,95.24
2020-11-03,Pacific,NA,81.16,96.63
2020-11-03,Southern,NA,77.83,92.25
2020-11-03,Western,NA,80.62,89.86
2020-10-24,Capital Metro,Atlanta,83.97,72.9
2020-10-24,Capital Metro,Baltimore,61.49,75.48
2020-10-24,Capital Metro,Capital,76.07,94.38
