Date,Area,District,Volume_inb_ball,Score_inb_ball,Score_p_1_inb_ball,Score_p_2_inb_ball,Score_p_3_inb_ball,type
2020-10-24,Metro,Atlanta,17330,84.89,95.35,98.71,98.92,inbound
2020-10-24,Metro,Baltimore,10410,84.21,89.82,93.51,95.63,inbound
2020-10-24,Metro,Capital,14952,92.98,97.24,98.2,98.44,inbound
2020-10-24,Metro,Greater S Carolina,11936,92.25,97.52,98.93,99.07,inbound
2020-10-24,Metro,Greensboro,15761,83.6,89.68,96.57,96.77,inbound
2020-10-24,Metro,Mid-Carolinas,11164,90.56,96.01,97.65,97.81,inbound
2020-10-24,Metro,Norther Virginia,11774,91.55,95.32,96.81,96.98,inbound
2020-10-24,Metro,Richmond,9994,92.46,97.16,98.67,98.74,inbound
2020-10-24,Eastern,Appalachian,1932,58.85,62.47,63.41,63.82,inbound
2020-10-24,Eastern,Central Pennsylvania,28344,78.46,90.5,98.91,99.36,inbound
2020-10-24,Eastern,Kentuckiana,734,37.6,49.86,52.86,53.95,inbound
2020-10-24,Eastern,Norther Ohio,35407,91.84,98.73,99.44,99.47,inbound
2020-10-24,Eastern,Ohio Valley,25323,95.08,98.68,99.36,99.4,inbound
2020-10-24,Eastern,Philadelphia Metropo,18137,91.55,95.09,98.9,99.13,inbound
2020-10-24,Eastern,South Jersey,21338,95.54,97.48,98.22,98.7,inbound
2020-10-24,Eastern,Tennessee,3207,88.74,96.41,98.66,98.66,inbound
2020-10-24,Eastern,Western New York,10333,96.2,98.29,99.27,99.27,inbound
2020-10-24,Eastern,Western Pennsylvania,34031,98.08,99.17,99.72,99.73,inbound
2020-10-24,Great Lakes,Central Illinois,17965,89.89,94.03,96.85,98.99,inbound
2020-10-24,Great Lakes,Chicago,11581,90.71,91.97,92.56,95.81,inbound
2020-10-24,Great Lakes,Detroit,5811,74.05,92.63,97.37,98.14,inbound
2020-10-24,Great Lakes,Gateway,9036,93.46,97.08,98.05,98.15,inbound
2020-10-24,Great Lakes,Greater Indiana,946,72.41,91.75,98.63,98.63,inbound
2020-10-24,Great Lakes,Greater Michigan,6128,91.66,96.88,97.99,98.01,inbound
2020-10-24,Great Lakes,Lakeland,1883,81.73,93.73,95.65,95.91,inbound
2020-10-24,Northeast,Albany,9972,95.19,98.44,99.22,99.27,inbound
2020-10-24,Northeast,Caribbean,9670,99.63,99.89,99.92,99.92,inbound
2020-10-24,Northeast,Connecticut Valley,12229,95.55,97.74,98.63,98.8,inbound
2020-10-24,Northeast,Greater Boston,40938,96.03,98.45,99.02,99.04,inbound
2020-10-24,Northeast,Long Island,14887,96.61,98.34,98.81,98.86,inbound
2020-10-24,Northeast,New York,7336,91.15,95.16,99.17,99.43,inbound
2020-10-24,Northeast,Northern New England,1472,76.56,94.16,99.18,99.18,inbound
2020-10-24,Northeast,Northern New Jersey,30568,96.5,97.68,98.05,98.11,inbound
2020-10-24,Northeast,Triboro,5767,83.09,85.76,86.58,86.68,inbound
2020-10-24,Northeast,Westchester,8540,92.76,95.94,97.31,97.45,inbound
2020-10-24,Pacific,Bay-Valley,58733,98.43,99.12,99.29,99.31,inbound
2020-10-24,Pacific,Honolulu,26641,97.22,98.96,99.17,99.25,inbound
2020-10-24,Pacific,Los Angeles,55431,98.59,99.16,99.38,99.38,inbound
2020-10-24,Pacific,Sacramento,58967,96.75,99.28,99.35,99.37,inbound
2020-10-24,Pacific,San Diego,90880,98.85,99.49,99.66,99.66,inbound
2020-10-24,Pacific,San Francisco,36290,98.32,99.17,99.45,99.47,inbound
2020-10-24,Pacific,Santa Ana,45991,99.02,99.61,99.75,99.76,inbound
2020-10-24,Pacific,Sierra Coastal,32415,98.49,99.35,99.58,99.59,inbound
2020-10-24,Southern,Alabama,620,65.65,92.26,96.61,96.61,inbound
2020-10-24,Southern,Arkansas,761,91.46,96.32,98.55,98.55,inbound
2020-10-24,Southern,Dallas,3105,94.59,97.81,98.58,98.65,inbound
2020-10-24,Southern,Ft. Worth,1887,90.04,94.7,96.08,96.13,inbound
2020-10-24,Southern,Gulf Atlantic,18641,90.81,96.31,98.68,98.78,inbound
2020-10-24,Southern,Houston,2696,84.64,89.5,91.58,91.73,inbound
2020-10-24,Southern,Louisiana,561,77.18,90.73,98.04,98.04,inbound
2020-10-24,Southern,Mississippi,469,85.5,95.1,98.51,98.51,inbound
2020-10-24,Southern,Oklahoma,385,75.32,91.69,97.4,97.4,inbound
2020-10-24,Southern,Rio Grande,3433,91.09,95.22,98.11,98.11,inbound
2020-10-24,Southern,South Florida,9778,92.91,96.32,98.65,98.66,inbound
2020-10-24,Southern,Suncoast,47876,96.63,98.55,99.25,99.26,inbound
2020-10-24,Western,Alaska,4101,79.59,88.03,89.32,89.61,inbound
2020-10-24,Western,Arizona,121164,97.56,99.35,99.48,99.53,inbound
2020-10-24,Western,Central Plains,7267,96.72,98.53,99.04,99.04,inbound
2020-10-24,Western,Colorado/Wyoming,20592,69.94,89.58,91.89,91.97,inbound
2020-10-24,Western,Dakotas,10696,96.23,99.09,99.7,99.7,inbound
2020-10-24,Western,Hawkeye,13338,95.25,98.03,98.49,98.53,inbound
2020-10-24,Western,Mid-Americas,8549,93.81,97.58,99.33,99.49,inbound
2020-10-24,Western,Nevada Sierra,24281,97.86,99.44,99.67,99.7,inbound
2020-10-24,Western,Northland,6158,97.3,99.4,99.71,99.71,inbound
2020-10-24,Western,Portland,98843,92.49,99.09,99.37,99.4,inbound
2020-10-24,Western,Salt Lake City,39858,98.78,99.54,99.75,99.81,inbound
2020-10-24,Western,Seattle,97905,97.75,99.07,99.36,99.42,inbound
2020-10-26,Metro,Atlanta,18005,89.44,94.66,97.46,98.51,inbound
2020-10-26,Metro,Baltimore,18531,91.27,95.61,97.91,99,inbound
2020-10-26,Metro,Capital,14799,93.21,97.13,98.89,99.24,inbound
2020-10-26,Metro,Greater S Carolina,12565,87.1,93.55,96.93,98.3,inbound
2020-10-26,Metro,Greensboro,17827,82.71,94.01,96.31,97.02,inbound
2020-10-26,Metro,Mid-Carolinas,11441,86.12,93.56,95.01,95.58,inbound
2020-10-26,Metro,Norther Virginia,19824,93.5,97.23,97.78,98.12,inbound
2020-10-26,Metro,Richmond,15749,91.18,96.08,97.58,98.21,inbound
2020-10-26,Eastern,Appalachian,3070,74.89,81.3,82.31,82.67,inbound
2020-10-26,Eastern,Central Pennsylvania,53225,78.76,92.1,99.3,99.49,inbound
2020-10-26,Eastern,Kentuckiana,914,64.55,71.99,74.4,76.59,inbound
2020-10-26,Eastern,Norther Ohio,45561,92.64,97.97,98.62,98.86,inbound
2020-10-26,Eastern,Ohio Valley,30988,94.8,98.56,99.12,99.41,inbound
2020-10-26,Eastern,Philadelphia Metropo,48371,93.03,95.8,97.39,97.78,inbound
2020-10-26,Eastern,South Jersey,17535,90.88,94.47,95.73,96.37,inbound
2020-10-26,Eastern,Tennessee,8691,92.82,97.25,98.6,98.92,inbound
2020-10-26,Eastern,Western New York,15455,96.6,98.65,99.06,99.18,inbound
2020-10-26,Eastern,Western Pennsylvania,41674,97.26,98.87,99.33,99.43,inbound
2020-10-26,Great Lakes,Central Illinois,28945,94.36,97.62,98.45,98.77,inbound
2020-10-26,Great Lakes,Chicago,20128,87.63,93.06,94.26,94.81,inbound
2020-10-26,Great Lakes,Detroit,12486,73.6,93.01,96.82,98.06,inbound
2020-10-26,Great Lakes,Gateway,14960,93.18,95.74,96.97,97.25,inbound
2020-10-26,Great Lakes,Greater Indiana,3008,79.72,93.85,96.71,98.74,inbound
2020-10-26,Great Lakes,Greater Michigan,14148,87.29,96.85,98.32,98.54,inbound
2020-10-26,Great Lakes,Lakeland,3359,87.44,93.24,95.86,98.21,inbound
2020-10-26,Northeast,Albany,22560,96.32,98.7,99.26,99.43,inbound
2020-10-26,Northeast,Caribbean,4885,98.67,99.65,99.77,99.82,inbound
2020-10-26,Northeast,Connecticut Valley,30949,94.79,96.83,97.34,97.72,inbound
2020-10-26,Northeast,Greater Boston,74158,96.96,98.66,98.96,99.17,inbound
2020-10-26,Northeast,Long Island,19994,96.02,97.68,98.02,98.24,inbound
2020-10-26,Northeast,New York,50926,96.49,98.33,98.91,99.05,inbound
2020-10-26,Northeast,Northern New England,2476,84.41,92.89,96.81,99.23,inbound
2020-10-26,Northeast,Northern New Jersey,30033,96.76,98.05,98.32,98.46,inbound
2020-10-26,Northeast,Triboro,14115,89.13,91.12,91.85,92.04,inbound
2020-10-26,Northeast,Westchester,14707,94.53,97.42,97.89,98.09,inbound
2020-10-26,Pacific,Bay-Valley,49831,96.85,98.04,98.28,98.39,inbound
2020-10-26,Pacific,Honolulu,23767,94.72,97.46,97.84,97.88,inbound
2020-10-26,Pacific,Los Angeles,42125,96.39,97.45,97.98,98.22,inbound
2020-10-26,Pacific,Sacramento,46644,97.07,97.92,98.09,98.14,inbound
2020-10-26,Pacific,San Diego,75559,98.07,99.29,99.57,99.64,inbound
2020-10-26,Pacific,San Francisco,36399,97.83,98.83,99.05,99.13,inbound
2020-10-26,Pacific,Santa Ana,35113,97.65,99.01,99.36,99.46,inbound
2020-10-26,Pacific,Sierra Coastal,34953,97.96,98.64,98.87,98.99,inbound
2020-10-26,Southern,Alabama,1302,74.19,92.63,97.24,98.16,inbound
2020-10-26,Southern,Arkansas,1292,91.95,97.21,98.45,99.61,inbound
2020-10-26,Southern,Dallas,3465,91.98,97,98.44,98.67,inbound
2020-10-26,Southern,Ft. Worth,2262,88.68,92,93.1,93.28,inbound
2020-10-26,Southern,Gulf Atlantic,17639,85.83,94.26,96.49,97.27,inbound
