Date,Area,District,Inbound,Outbound,Outbound_non
2020-10-24,Nation,NA,94.73,94.12,95.99
2020-10-26,Nation,NA,93.4,95.32,57.13
2020-10-27,Nation,NA,94.82,91.51,34.7
2020-10-28,Nation,NA,97.06,97.03,76.67
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-30,Nation,NA,93.04,90.84,69.16
2020-10-31,Nation,NA,90.58,80.25,63.64
2020-11-02,Nation,NA,89.59,77.15,81.65
2020-11-03,Nation,NA,93.25,5.57,33.86
2020-10-24,Capital Metro,NA,88.75,51.88,75.26
2020-10-24,Eastern,NA,91.39,98.33,75.3
2020-10-24,Great Lakes,NA,88.55,71.4,94.7
2020-10-24,Northeast,NA,95.16,99.1,95.91
2020-10-24,Pacific,NA,98.28,96.09,99.88
2020-10-24,Southern,NA,93.72,57.57,95.46
2020-10-24,Western,NA,95.01,78.34,98.85
2020-10-26,Capital Metro,NA,89.52,85.1,54.26
2020-10-26,Eastern,NA,90.72,98.45,12.25
2020-10-26,Great Lakes,NA,88.39,77.52,97.71
2020-10-26,Northeast,NA,95.83,97.47,49.85
2020-10-26,Pacific,NA,97.24,93.97,95.93
2020-10-26,Southern,NA,90.71,68.15,84.79
2020-10-26,Western,NA,93.37,80.42,97.65
2020-10-27,Capital Metro,NA,74.4,65.37,46.74
2020-10-27,Eastern,NA,92.25,92.07,2.58
2020-10-27,Great Lakes,NA,78.8,11.47,32.86
2020-10-27,Northeast,NA,95.04,99.92,60.89
2020-10-27,Pacific,NA,98.84,64.13,88.67
2020-10-27,Southern,NA,92.96,85.77,78.74
2020-10-27,Western,NA,95.78,28.35,55.48
2020-10-28,Capital Metro,NA,93.93,52.28,82.33
2020-10-28,Eastern,NA,95.3,96.77,11.08
2020-10-28,Great Lakes,NA,94.19,15.21,96.88
2020-10-28,Northeast,NA,97.26,99.34,18.21
2020-10-28,Pacific,NA,99.18,96.18,89.82
2020-10-28,Southern,NA,95.04,85.2,94.11
2020-10-28,Western,NA,97.22,81.68,48
2020-10-29,Capital Metro,NA,90.65,34.31,74.3
2020-10-29,Eastern,NA,88.17,99.58,5.82
2020-10-29,Great Lakes,NA,92.8,95.44,95.68
2020-10-29,Northeast,NA,95.78,86.14,72.62
2020-10-29,Pacific,NA,98.4,96.08,76.71
2020-10-29,Southern,NA,96.57,53.07,92.92
